tehsil,year,season,rainfall_mm,temperature_c,recharge_proxy,crop_water_intensity_index,borewell_density,irrigation_census_proxy,observed_water_table_m,_true_human_residual_m,rainfall_mm_lag1,observed_water_table_m_lag1
Bhiwapur,2010,Monsoon,508.8,24.8,0.653,41.61,13.46,46.59,15.914,3.182,75.0,17.559
Bhiwapur,2010,Post-Monsoon,128.7,27.6,0.119,44.96,14.16,43.02,17.839,3.409,508.8,15.914
Bhiwapur,2010,Winter,23.4,21.7,0.0,46.22,14.29,43.96,17.302,3.32,128.7,17.839
Bhiwapur,2011,Pre-Monsoon,45.8,33.5,0.014,45.77,13.54,40.01,19.394,3.198,23.4,17.302
Bhiwapur,2011,Monsoon,592.5,26.0,0.708,42.34,13.39,44.49,15.51,3.048,45.8,19.394
Bhiwapur,2011,Post-Monsoon,185.0,25.0,0.212,53.83,13.79,40.67,16.018,3.252,592.5,15.51
Bhiwapur,2011,Winter,18.1,20.4,0.071,45.65,14.35,45.21,18.229,3.546,185.0,16.018
Bhiwapur,2012,Pre-Monsoon,60.0,36.3,0.1,45.29,13.87,45.09,18.173,3.292,18.1,18.229
Bhiwapur,2012,Monsoon,616.6,27.4,0.761,46.97,14.28,45.17,15.858,3.942,60.0,18.173
Bhiwapur,2012,Post-Monsoon,115.0,25.6,0.127,49.28,15.0,45.86,18.371,3.728,616.6,15.858
Bhiwapur,2012,Winter,18.4,21.4,0.01,45.41,13.82,46.26,18.447,3.557,115.0,18.371
Bhiwapur,2013,Pre-Monsoon,50.5,33.3,0.03,48.4,12.89,43.63,19.283,3.169,18.4,18.447
Bhiwapur,2013,Monsoon,482.3,28.1,0.62,47.57,14.4,45.57,16.539,3.196,50.5,19.283
Bhiwapur,2013,Post-Monsoon,135.6,25.1,0.169,44.45,12.74,45.83,16.815,2.951,482.3,16.539
Bhiwapur,2013,Winter,13.6,20.5,0.014,42.73,14.51,45.22,19.067,3.216,135.6,16.815
Bhiwapur,2014,Pre-Monsoon,61.8,32.4,0.092,43.24,15.03,45.17,18.185,2.982,13.6,19.067
Bhiwapur,2014,Monsoon,710.6,28.5,0.927,46.18,15.95,45.29,14.688,3.196,61.8,18.185
Bhiwapur,2014,Post-Monsoon,55.6,24.5,0.083,42.12,14.54,48.28,19.181,3.021,710.6,14.688
Bhiwapur,2014,Winter,16.0,20.9,0.023,45.14,15.78,44.21,18.769,3.099,55.6,19.181
Bhiwapur,2015,Pre-Monsoon,77.9,35.5,0.083,48.42,14.77,45.29,18.522,4.046,16.0,18.769
Bhiwapur,2015,Monsoon,718.9,27.9,0.843,48.13,13.34,45.17,15.334,3.312,77.9,18.522
Bhiwapur,2015,Post-Monsoon,150.2,24.8,0.172,50.5,14.4,42.74,17.076,3.367,718.9,15.334
Bhiwapur,2015,Winter,17.5,22.4,0.075,44.2,14.16,47.61,18.182,3.43,150.2,17.076
Bhiwapur,2016,Pre-Monsoon,56.3,34.1,0.072,47.95,14.0,45.89,18.771,3.422,17.5,18.182
Bhiwapur,2016,Monsoon,674.3,24.6,0.81,46.61,13.74,51.35,15.199,3.536,56.3,18.771
Bhiwapur,2016,Post-Monsoon,113.9,24.4,0.135,44.64,14.32,40.87,18.006,3.678,674.3,15.199
Bhiwapur,2016,Winter,26.0,22.8,0.052,46.1,13.56,50.14,17.995,4.178,113.9,18.006
Bhiwapur,2017,Pre-Monsoon,87.1,33.8,0.148,53.24,13.82,46.69,16.523,3.258,26.0,17.995
Bhiwapur,2017,Monsoon,640.1,27.1,0.806,42.58,16.13,47.03,15.669,3.585,87.1,16.523
Bhiwapur,2017,Post-Monsoon,122.8,23.2,0.153,48.76,13.81,48.27,17.265,3.098,640.1,15.669
Bhiwapur,2017,Winter,17.6,20.5,0.008,51.86,14.8,48.1,18.82,3.804,122.8,17.265
Bhiwapur,2018,Pre-Monsoon,66.9,34.9,0.101,44.71,14.21,48.02,17.653,3.059,17.6,18.82
Bhiwapur,2018,Monsoon,432.8,26.7,0.532,46.48,15.17,47.45,17.696,3.437,66.9,17.653
Bhiwapur,2018,Post-Monsoon,130.8,24.2,0.159,45.15,14.98,46.67,17.188,3.01,432.8,17.696
Bhiwapur,2018,Winter,8.8,21.7,0.038,46.56,15.11,49.0,19.854,3.072,130.8,17.188
Bhiwapur,2019,Pre-Monsoon,96.7,33.6,0.063,47.81,12.57,49.77,16.728,3.149,8.8,19.854
Bhiwapur,2019,Monsoon,775.9,24.7,0.918,48.87,14.58,48.43,14.065,3.618,96.7,16.728
Bhiwapur,2019,Post-Monsoon,129.3,26.3,0.166,45.22,15.83,48.34,17.967,3.813,775.9,14.065
Bhiwapur,2019,Winter,25.5,22.9,0.054,46.61,13.15,51.86,17.137,3.234,129.3,17.967
Bhiwapur,2020,Pre-Monsoon,46.0,33.4,0.072,46.92,15.47,52.52,19.91,3.995,25.5,17.137
Bhiwapur,2020,Monsoon,626.2,24.0,0.739,52.55,14.03,48.98,16.314,4.101,46.0,19.91
Bhiwapur,2020,Post-Monsoon,105.5,25.9,0.141,49.79,16.63,47.8,18.735,3.83,626.2,16.314
Bhiwapur,2020,Winter,22.8,21.2,0.052,50.84,15.96,48.21,18.124,4.068,105.5,18.735
Bhiwapur,2021,Pre-Monsoon,47.4,34.2,0.0,49.24,16.79,50.11,18.975,2.828,22.8,18.124
Bhiwapur,2021,Monsoon,677.2,27.6,0.864,50.33,15.66,47.1,14.788,3.264,47.4,18.975
