tehsil,year,season,rainfall_mm,temperature_c,recharge_proxy,crop_water_intensity_index,borewell_density,irrigation_census_proxy,observed_water_table_m,_true_human_residual_m,rainfall_mm_lag1,observed_water_table_m_lag1,baseline_pred,human_residual
Bhiwapur,2010,Monsoon,508.8,24.8,0.653,41.61,13.46,46.59,15.914,3.182,75.0,17.559,17.653048258152264,-1.7390482581522644
Bhiwapur,2010,Post-Monsoon,128.7,27.6,0.119,44.96,14.16,43.02,17.839,3.409,508.8,15.914,18.907348561216597,-1.0683485612165988
Bhiwapur,2010,Winter,23.4,21.7,0.0,46.22,14.29,43.96,17.302,3.32,128.7,17.839,19.20006062529748,-1.8980606252974788
Bhiwapur,2011,Pre-Monsoon,45.8,33.5,0.014,45.77,13.54,40.01,19.394,3.198,23.4,17.302,19.1989503559785,0.19504964402149838
Bhiwapur,2011,Monsoon,592.5,26.0,0.708,42.34,13.39,44.49,15.51,3.048,45.8,19.394,16.59703233916451,-1.0870323391645105
Bhiwapur,2011,Post-Monsoon,185.0,25.0,0.212,53.83,13.79,40.67,16.018,3.252,592.5,15.51,18.269854969504266,-2.251854969504265
Bhiwapur,2011,Winter,18.1,20.4,0.071,45.65,14.35,45.21,18.229,3.546,185.0,16.018,19.170463592584014,-0.9414635925840145
Bhiwapur,2012,Pre-Monsoon,60.0,36.3,0.1,45.29,13.87,45.09,18.173,3.292,18.1,18.229,19.18154743658407,-1.0085474365840703
Bhiwapur,2012,Monsoon,616.6,27.4,0.761,46.97,14.28,45.17,15.858,3.942,60.0,18.173,16.39782771265681,-0.539827712656809
Bhiwapur,2012,Post-Monsoon,115.0,25.6,0.127,49.28,15.0,45.86,18.371,3.728,616.6,15.858,19.03639866236578,-0.6653986623657815
Bhiwapur,2012,Winter,18.4,21.4,0.01,45.41,13.82,46.26,18.447,3.557,115.0,18.371,19.203073947038085,-0.756073947038086
Bhiwapur,2013,Pre-Monsoon,50.5,33.3,0.03,48.4,12.89,43.63,19.283,3.169,18.4,18.447,19.190478937282837,0.09252106271716443
Bhiwapur,2013,Monsoon,482.3,28.1,0.62,47.57,14.4,45.57,16.539,3.196,50.5,19.283,17.76445919601622,-1.2254591960162173
Bhiwapur,2013,Post-Monsoon,135.6,25.1,0.169,44.45,12.74,45.83,16.815,2.951,482.3,16.539,18.285863053940766,-1.4708630539407643
Bhiwapur,2013,Winter,13.6,20.5,0.014,42.73,14.51,45.22,19.067,3.216,135.6,16.815,19.21989758432615,-0.1528975843261513
Bhiwapur,2014,Pre-Monsoon,61.8,32.4,0.092,43.24,15.03,45.17,18.185,2.982,13.6,19.067,19.161944400209652,-0.9769444002096535
Bhiwapur,2014,Monsoon,710.6,28.5,0.927,46.18,15.95,45.29,14.688,3.196,61.8,18.185,15.550354997634315,-0.8623549976343146
Bhiwapur,2014,Post-Monsoon,55.6,24.5,0.083,42.12,14.54,48.28,19.181,3.021,710.6,14.688,19.14320205948363,0.03779794051636998
Bhiwapur,2014,Winter,16.0,20.9,0.023,45.14,15.78,44.21,18.769,3.099,55.6,19.181,19.219687293060964,-0.450687293060966
